model,n,rho,p
jev,498,0.06680947349157919,0.1365317048171877
google_gemini-3.8-flash,498,0.031116779627261882,0.4884211627798476
anthropic_claude-opus-5,495,0.14414069057694892,0.0013015953196153598
anthropic_claude-fable-5.1,487,0.08573793349478016,0.058665500900234153
anthropic_claude-sonnet-5,498,0.09518786027992449,0.03369605817760986
google_gemma-4-31b-it,498,0.07321367828329355,0.1026973815568822
